audit;supplier;test_name;purpose;description;actions;nist800-53_ref;risk_level;authors
repo;6wind-linux;global_forbidservices_notset.6wind-linux.gawk;check if <vrf main> block only contains trusted services;unauthorized or unexpected services running in vrf main expand the attack surface and could expose the device to security risks;missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);cm-7(1) | configuration management | ensure periodic review of unnecessary functions ports protocols and services;high;cedric llorens
repo;6wind-linux;global_netconfcompliant_set.6wind-linux.gawk;check if <vrf main><netconf-server> block is compliant (address, enabled true);non-compliant netconf server configuration (bad address, missing port, or service disabled) could expose the device to unauthorized management access;missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);ac-17(2) | access control | ensure remote access is encrypted;high;cedric llorens
repo;6wind-linux;global_ntpcompliant_set.6wind-linux.gawk;check if <vrf main><ntp> block is compliant (time-sources, enabled true);non-compliant ntp configuration could affect time synchronization and undermine log integrity and audit trail reliability;missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);au-8(1) | audit and accountability | ensure time synchronization with authoritative source is configured;high;cedric llorens
repo;6wind-linux;global_oldercryptoalg_notset.6wind-linux.gawk;check if <older crypto algorithm> is not set;usage of deprecated or weak cryptographic algorithms weakens device security and could be exploited by an attacker;missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);sc-13 | system and communications protection | ensure cryptographic protection using approved algorithms is configured;high;cedric llorens
repo;6wind-linux;global_snmpcustforbidcommunity_notset.6wind-linux.gawk;check if <vrf main><snmp> custom block is compliant (trusted communities, authorization, destination);non-compliant snmp custom community configuration (forbidden communities, read-write access, or invalid destination) could expose the device to unauthorized access or information disclosure;missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);ac-3 | access control | ensure access enforcement is configured;high;cedric llorens
repo;6wind-linux;global_snmpforbidcommunity_notset.6wind-linux.gawk;check if <vrf main><snmp> block is compliant (trusted community, authorization, enabled true);use of default or forbidden snmp communities (public, private) or read-write authorization could expose the device to unauthorized access or configuration changes;missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);ac-3 | access control | ensure access enforcement is configured;high;cedric llorens
repo;6wind-linux;global_sshcompliant_set.6wind-linux.gawk;check if <vrf main><ssh-server> block is compliant (port, permit-root-login, enabled true);non-compliant ssh server configuration (missing port, root login allowed, or service disabled) could expose the device to unauthorized remote access;missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);ac-17(1) | access control | ensure monitoring and control of remote access is automated;high;cedric llorens
repo;6wind-linux;system_authcompliant_set.6wind-linux.gawk;check if <system><auth> block is compliant (trusted users);non-compliant authentication configuration allowing untrusted users could grant unauthorized access to the device;missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);ia-2 | identification and authentication | ensure unique identification and authentication of organizational users is configured;high;cedric llorens
repo;6wind-linux;system_networkstackicmpcompliant_set.6wind-linux.gawk;check if <system><network-stack><icmp> block is compliant (rate-limit-icmp, rate-mask-icmp destination-unreachable, ignore-icmp-echo-broadcast);non-compliant icmp network stack settings could expose the device to icmp flood or amplification attacks and information leakage via broadcast echo;missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);sc-5(2) | system and communications protection | ensure dos protection capacity and bandwidth is managed;high;cedric llorens
repo;6wind-linux;system_networkstackipcompliant_set.6wind-linux.gawk;check if <system><network-stack><ipv4/ipv6> block is compliant (accept-redirects, accept-source-route, accept-router-advert, arp-proxy);non-compliant ip network stack settings could expose the device to ip-based attacks such as icmp redirects, source routing abuse, rogue router advertisements, or arp proxy spoofing;missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);sc-7 | system and communications protection | ensure boundary protection is configured;high;cedric llorens
repo;checkpoint-fwcli;global_duplicaterule_notset.checkpoint-fwcli.gawk;check that <duplicate rules> are not set;duplicate firewall rules indicate policy inconsistencies, increase rule base complexity, and may hide unintended access permissions;missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);sc-7 | system and communications protection | ensure boundary protection is configured;medium;lucas vanhaaren
repo;checkpoint-fwcli;global_ipioclist_set.checkpoint-fwcli.gawk;check that <ip_ioc_list> is set;missing ioc ip addresses in access rules may allow known malicious sources to communicate with the device;missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);si-4 | system and information integrity | ensure system monitoring is configured;info;wael elsingaby
repo;checkpoint-fwcli;global_lastruledrop_set.checkpoint-fwcli.gawk;check <last drop rule> is set;a missing implicit deny-all last rule may allow unintended traffic to pass through the firewall policy;missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);sc-7 | system and communications protection | ensure boundary protection is configured;medium;lucas vanhaaren
repo;checkpoint-fwcli;global_loopbackantispoof_set.checkpoint-fwcli.gawk;check if <loopback 127/8 rules> are set to accept and drop packets appropriately;missing loopback anti-spoofing rules may allow external packets with spoofed loopback source addresses to bypass security controls;missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);sc-7 | system and communications protection | ensure boundary protection is configured;high | medium;quentin gavilan
repo;checkpoint-fwcli;global_ntp_set.checkpoint-fwcli.gawk;check <ntp statements> is set;missing or misconfigured ntp synchronization leads to log timestamp inconsistencies, impeding incident response and forensic analysis;missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);au-12 | audit and accountability | ensure audit record generation is enabled;medium;maxime souris
repo;checkpoint-fwcli;global_oldercryptoalg_notset.checkpoint-fwcli.gawk;check if <older crypto algorithm> is not set;older or deprecated cryptographic algorithms expose encrypted communications to known attacks and compromise data confidentiality;missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);sc-13 | system and communications protection | ensure cryptographic protection using approved algorithms is configured;high;cedric llorens
repo;checkpoint-fwcli;global_passwordpolicy_set.checkpoint-fwcli.gawk;check that <password policy> is set;weak password policies increase the risk of unauthorized access through brute force or credential attacks;missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);ia-5(1) | identification and authentication | ensure password-based authentication complexity is enforced;medium;maxime souris
repo;checkpoint-fwcli;global_ruleinfo_set.checkpoint-fwcli.gawk;provide rule information;permissive rules using source/destination any or dangerous services expose the device to unauthorized access and lateral movement risks;missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;info;cedric llorens
